BoxType,center,normal,top,h,w,t
Emitter,"(-182.42640687119285, 42.42640687119285, 490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, 590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, -10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-168.2842712474619, 28.284271247461902, 130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
